map,num_agents,trial,plan_attempts,plan_ok,full_replan_ok,full_replan_ms,selective_replan_ok,selective_replan_ms,escalation_tier,initial_soc,full_replan_soc,full_replan_changed,selective_replan_soc,selective_replan_changed,selective_replanned,selective_conflicts
open,5,0,1,1,1,0.8958,1,0.5691,0,86,86,5,86,2,2,0
open,5,1,1,1,1,0.9426,1,0.2439,0,122,124,3,124,1,1,0
open,5,2,1,1,1,0.6094,1,0.357,0,111,113,4,113,1,1,0
open,5,3,1,1,1,0.8856,1,0.4456,0,92,92,4,94,1,1,0
open,5,4,1,1,1,1.2465,1,0.3952,0,144,146,4,146,1,1,0
open,5,5,1,1,1,0.3643,1,0.288,0,123,127,1,127,1,1,0
open,5,6,1,1,1,0.4465,1,0.3556,0,85,87,1,87,1,1,0
open,5,7,1,1,1,3.0429,1,0.6268,0,122,124,5,124,2,2,0
open,5,8,1,1,1,0.7917,1,0.5163,0,81,81,5,81,1,1,0
open,5,9,1,1,1,1.1491,1,0.5375,0,96,96,2,96,1,1,0
open,5,10,1,1,1,0.3315,1,0.3865,0,118,118,2,118,1,1,0
open,5,11,1,1,1,1.7267,1,0.5729,0,128,128,4,128,1,1,0
open,5,12,1,1,1,1.4447,1,0.5016,0,145,145,3,145,1,1,0
open,5,13,1,1,1,0.4645,1,0.3415,0,131,131,1,131,1,1,0
open,5,14,1,1,1,1.1324,1,0.4863,0,99,99,4,99,1,1,0
open,5,15,1,1,1,1.0741,1,0.2999,0,108,110,2,110,1,1,0
open,5,16,1,1,1,0.7167,1,0.9082,0,126,128,2,128,1,1,0
open,5,17,1,1,1,3.5905,1,1.6772,0,148,148,5,148,1,1,0
open,5,18,1,1,1,2.1489,1,0.3015,0,83,83,3,83,1,1,0
open,5,19,1,1,1,0.2726,1,0.2876,0,88,90,1,90,1,1,0
open,5,20,1,1,1,0.2803,1,0.343,0,100,100,1,100,1,1,0
open,5,21,1,1,1,0.9216,1,0.293,0,119,121,3,121,1,1,0
open,5,22,1,1,1,1.4344,1,0.4998,0,107,107,5,107,1,1,0
open,5,23,1,1,1,2.0461,1,0.6417,0,152,154,4,154,1,1,0
open,5,24,1,1,1,0.8188,1,0.6728,0,110,112,3,112,1,1,0
open,5,25,1,1,1,0.8021,1,0.3949,0,136,138,2,138,1,1,0
open,5,26,1,1,1,0.5899,1,0.6208,0,171,173,1,173,1,1,0
open,5,27,1,1,1,0.7118,1,0.4245,0,103,103,3,103,1,1,0
open,5,28,1,1,1,1.0118,1,0.8667,0,121,121,3,121,1,1,0
open,5,29,1,1,1,0.3961,1,0.2532,0,109,109,3,109,1,1,0
open,5,30,1,1,1,0.9686,1,0.525,0,94,94,5,94,1,1,0
open,5,31,1,1,1,1.6557,1,0.4782,0,89,89,2,89,2,2,0
open,5,32,1,1,1,0.5909,1,0.3004,0,87,89,2,89,1,1,0
open,5,33,1,1,1,1.7183,1,1.2124,0,107,107,5,107,1,1,0
open,5,34,1,1,1,2.5206,1,0.5966,0,142,148,5,146,2,2,0
open,5,35,1,1,1,0.5969,1,0.2615,0,50,50,2,50,1,1,0
open,5,36,1,1,1,0.8319,1,0.755,0,116,116,3,116,3,3,0
open,5,37,1,1,1,0.6638,1,0.336,0,102,102,4,102,1,1,0
open,5,38,1,1,1,0.4086,1,0.2767,0,87,89,2,89,1,1,0
open,5,39,1,1,1,0.532,1,0.6341,0,109,111,2,111,1,1,0
open,5,40,1,1,1,1.013,1,0.2679,0,98,100,3,100,1,1,0
open,5,41,1,1,1,0.3256,1,0.5563,0,101,103,1,103,1,1,0
open,5,42,1,1,1,1.1023,1,0.6321,0,90,90,4,90,1,1,0
open,5,43,1,1,1,1.3211,1,0.4591,0,89,91,2,91,1,1,0
open,5,44,1,1,1,1.8096,1,0.5896,0,78,83,3,78,1,1,0
open,5,45,1,1,1,0.6962,1,0.4557,0,73,79,5,75,1,1,0
open,5,46,1,1,1,0.5543,1,0.8884,0,186,188,3,188,1,1,0
open,5,47,1,1,1,1.9175,1,0.8295,0,100,100,2,100,1,1,0
open,5,48,1,1,1,0.3639,1,0.2948,0,126,126,1,126,1,1,0
open,5,49,1,1,1,0.5398,1,0.3427,0,98,98,2,98,1,1,0
open,10,0,1,1,1,4.6129,1,0.9439,0,188,208,8,188,2,2,0
open,10,1,1,1,1,1.0714,1,0.5868,0,259,259,4,259,1,1,0
open,10,2,1,1,1,0.7639,1,0.4184,0,245,245,3,245,1,1,0
open,10,3,1,1,1,2.6408,1,0.9424,0,246,268,7,248,2,2,0
open,10,4,1,1,1,1.7084,1,0.516,0,182,183,7,184,1,1,0
open,10,5,1,1,1,2.1262,1,0.6542,0,220,220,9,221,1,1,0
open,10,6,1,1,1,0.6847,1,0.7739,0,252,254,2,254,1,1,0
open,10,7,1,1,1,0.9288,1,0.5239,0,214,216,3,216,1,1,0
open,10,8,1,1,1,2.0436,1,0.5209,0,245,229,7,245,1,1,0
open,10,9,1,1,1,2.3608,1,0.5737,0,204,204,10,204,1,1,0
open,10,10,1,1,1,2.6638,1,0.6199,0,259,257,9,259,1,1,0
open,10,11,1,1,1,1.0781,1,0.5822,0,215,215,1,215,1,1,0
open,10,12,1,1,1,3.1006,1,0.8561,0,251,264,8,251,1,1,0
open,10,13,1,1,1,9.4511,1,0.9849,0,235,249,7,235,2,2,0
open,10,14,1,1,1,1.1997,1,0.5493,0,336,335,6,336,1,1,0
open,10,15,1,1,1,1.1294,1,0.5174,0,195,195,6,197,1,1,0
open,10,16,1,1,1,1.1367,1,0.787,0,221,237,6,221,1,1,0
open,10,17,1,1,1,0.5465,1,0.4626,0,210,210,1,210,1,1,0
open,10,18,1,1,1,0.8702,1,0.4997,0,159,159,5,159,1,1,0
open,10,19,1,1,1,20.7072,1,0.534,0,239,232,3,239,1,1,0
open,10,20,1,1,1,5.6516,1,0.5543,0,204,204,3,204,1,1,0
