map,num_agents,trial,plan_attempts,plan_ok,full_replan_ok,full_replan_ms,selective_replan_ok,selective_replan_ms,escalation_tier,initial_soc,full_replan_soc,full_replan_changed,selective_replan_soc,selective_replan_changed,selective_replanned,selective_conflicts
open,5,0,1,1,1,1.125,1,0.3527,0,86,86,5,86,2,2,0
open,5,1,1,1,1,1.55,1,0.2487,0,122,124,3,124,1,1,0
open,5,2,1,1,1,0.4787,1,0.5193,0,111,113,4,113,1,1,0
open,5,3,1,1,1,0.9626,1,0.6917,0,92,92,4,94,1,1,0
open,5,4,1,1,1,1.33,1,0.5965,0,144,146,4,146,1,1,0
open,5,5,1,1,1,0.4719,1,0.9372,0,123,127,1,127,1,1,0
open,5,6,1,1,1,0.5891,1,0.4755,0,85,87,1,87,1,1,0
open,5,7,1,1,1,2.3142,1,0.8762,0,122,124,5,124,2,2,0
open,5,8,1,1,1,1.1745,1,0.2562,0,81,81,5,81,1,1,0
open,5,9,1,1,1,0.6728,1,0.57,0,96,96,2,96,1,1,0
open,5,10,1,1,1,0.386,1,0.4883,0,118,118,2,118,1,1,0
open,5,11,1,1,1,1.6267,1,0.3312,0,128,128,4,128,1,1,0
open,5,12,1,1,1,1.1223,1,0.3223,0,145,145,3,145,1,1,0
open,5,13,1,1,1,0.2965,1,0.2591,0,131,131,1,131,1,1,0
open,5,14,1,1,1,0.7003,1,0.3487,0,99,99,4,99,1,1,0
open,5,15,1,1,1,0.4061,1,0.4081,0,108,110,2,110,1,1,0
open,5,16,1,1,1,0.3841,1,0.749,0,126,128,2,128,1,1,0
open,5,17,1,1,1,2.428,1,1.0114,0,148,148,5,148,1,1,0
open,5,18,1,1,1,0.606,1,0.4499,0,83,83,3,83,1,1,0
open,5,19,1,1,1,0.3657,1,0.4525,0,88,90,1,90,1,1,0
open,5,20,1,1,1,0.4142,1,0.4017,0,100,100,1,100,1,1,0
open,5,21,1,1,1,1.2887,1,0.2833,0,119,121,3,121,1,1,0
open,5,22,1,1,1,1.6773,1,0.6534,0,107,107,5,107,1,1,0
open,5,23,1,1,1,2.1077,1,0.4586,0,152,154,4,154,1,1,0
open,5,24,1,1,1,0.6839,1,2.1658,0,110,112,3,112,1,1,0
open,5,25,1,1,1,0.5175,1,0.4151,0,136,138,2,138,1,1,0
open,5,26,1,1,1,0.9959,1,0.5971,0,171,173,1,173,1,1,0
open,5,27,1,1,1,0.9446,1,0.4151,0,103,103,3,103,1,1,0
open,5,28,1,1,1,1.0191,1,0.7363,0,121,121,3,121,1,1,0
open,5,29,1,1,1,0.3516,1,0.2855,0,109,109,3,109,1,1,0
open,5,30,1,1,1,0.9233,1,0.285,0,94,94,5,94,1,1,0
open,5,31,1,1,1,1.7902,1,2.2605,0,89,89,2,89,2,2,0
open,5,32,1,1,1,0.8717,1,0.3244,0,87,89,2,89,1,1,0
open,5,33,1,1,1,2.7626,1,0.5534,0,107,107,5,107,1,1,0
open,5,34,1,1,1,2.1339,1,0.5014,0,142,148,5,146,2,2,0
open,5,35,1,1,1,1.5013,1,0.2276,0,50,50,2,50,1,1,0
open,5,36,1,1,1,0.9219,1,0.6273,0,116,116,3,116,3,3,0
open,5,37,1,1,1,0.5902,1,0.314,0,102,102,4,102,1,1,0
open,5,38,1,1,1,0.4025,1,0.2267,0,87,89,2,89,1,1,0
open,5,39,1,1,1,0.802,1,0.3306,0,109,111,2,111,1,1,0
open,5,40,1,1,1,0.8104,1,0.3141,0,98,100,3,100,1,1,0
open,5,41,1,1,1,0.2613,1,0.4283,0,101,103,1,103,1,1,0
open,5,42,1,1,1,0.8994,1,0.4856,0,90,90,4,90,1,1,0
open,5,43,1,1,1,1.1621,1,0.506,0,89,91,2,91,1,1,0
open,5,44,1,1,1,3.1747,1,0.314,0,78,83,3,78,1,1,0
open,5,45,1,1,1,0.7566,1,0.4399,0,73,79,5,75,1,1,0
open,5,46,1,1,1,0.6048,1,0.3152,0,186,188,3,188,1,1,0
open,5,47,1,1,1,1.2417,1,0.8103,0,100,100,2,100,1,1,0
open,5,48,1,1,1,0.3862,1,0.6519,0,126,126,1,126,1,1,0
open,5,49,1,1,1,0.5555,1,0.3984,0,98,98,2,98,1,1,0
open,10,0,1,1,1,4.126,1,2.3734,0,188,208,8,188,2,2,0
open,10,1,1,1,1,0.8873,1,0.5913,0,259,259,4,259,1,1,0
open,10,2,1,1,1,0.6638,1,0.5163,0,245,245,3,245,1,1,0
open,10,3,1,1,1,2.0123,1,1.1736,0,246,268,7,248,2,2,0
open,10,4,1,1,1,1.065,1,0.4999,0,182,183,7,184,1,1,0
open,10,5,1,1,1,2.1671,1,0.794,0,220,220,9,221,1,1,0
