map,num_agents,trial,plan_attempts,plan_ok,full_replan_ok,full_replan_ms,selective_replan_ok,selective_replan_ms,escalation_tier,initial_soc,full_replan_soc,full_replan_changed,selective_replan_soc,selective_replan_changed,selective_replanned,selective_conflicts
open,5,0,1,1,1,1.0835,1,0.7804,0,86,86,5,86,2,2,0
open,5,1,1,1,1,1.0787,1,0.468,0,122,124,3,124,1,1,0
open,5,2,1,1,1,0.5289,1,0.4645,0,111,113,4,113,1,1,0
open,5,3,1,1,1,0.7767,1,0.8088,0,92,92,4,94,1,1,0
open,5,4,1,1,1,1.3892,1,0.3253,0,144,146,4,146,1,1,0
open,5,5,1,1,1,0.4516,1,0.5634,0,123,127,1,127,1,1,0
open,5,6,1,1,1,0.4395,1,0.4806,0,85,87,1,87,1,1,0
open,5,7,1,1,1,3.4094,1,1.1961,0,122,124,5,124,2,2,0
open,5,8,1,1,1,0.7418,1,0.3188,0,81,81,5,81,1,1,0
open,5,9,1,1,1,1.4086,1,0.9651,0,96,96,2,96,1,1,0
open,5,10,1,1,1,0.3158,1,0.4247,0,118,118,2,118,1,1,0
open,5,11,1,1,1,1.9367,1,0.6394,0,128,128,4,128,1,1,0
open,5,12,1,1,1,0.8106,1,0.5592,0,145,145,3,145,1,1,0
open,5,13,1,1,1,0.3149,1,0.2756,0,131,131,1,131,1,1,0
open,5,14,1,1,1,0.9715,1,0.3793,0,99,99,4,99,1,1,0
open,5,15,1,1,1,0.5009,1,0.2831,0,108,110,2,110,1,1,0
open,5,16,1,1,1,0.7364,1,0.2926,0,126,128,2,128,1,1,0
open,5,17,1,1,1,2.6074,1,1.8028,0,148,148,5,148,1,1,0
open,5,18,1,1,1,0.7447,1,0.5423,0,83,83,3,83,1,1,0
open,5,19,1,1,1,0.2742,1,0.2403,0,88,90,1,90,1,1,0
open,5,20,1,1,1,0.5482,1,0.3085,0,100,100,1,100,1,1,0
open,5,21,1,1,1,0.9326,1,0.3352,0,119,121,3,121,1,1,0
open,5,22,1,1,1,1.1051,1,0.7772,0,107,107,5,107,1,1,0
open,5,23,1,1,1,2.5074,1,1.0355,0,152,154,4,154,1,1,0
open,5,24,1,1,1,1.1618,1,1.157,0,110,112,3,112,1,1,0
open,5,25,1,1,1,0.5269,1,0.6097,0,136,138,2,138,1,1,0
open,5,26,1,1,1,0.353,1,0.6951,0,171,173,1,173,1,1,0
open,5,27,1,1,1,1.2942,1,0.9475,0,103,103,3,103,1,1,0
open,5,28,1,1,1,1.2035,1,0.9302,0,121,121,3,121,1,1,0
open,5,29,1,1,1,0.5808,1,0.2903,0,109,109,3,109,1,1,0
open,5,30,1,1,1,1.0608,1,0.5657,0,94,94,5,94,1,1,0
open,5,31,1,1,1,1.3042,1,1.5761,0,89,89,2,89,2,2,0
open,5,32,1,1,1,0.5046,1,0.2852,0,87,89,2,89,1,1,0
open,5,33,1,1,1,1.8097,1,0.5665,0,107,107,5,107,1,1,0
open,5,34,1,1,1,1.1396,1,0.9954,0,142,148,5,146,2,2,0
open,5,35,1,1,1,0.7948,1,0.3776,0,50,50,2,50,1,1,0
open,5,36,1,1,1,0.9005,1,1.6445,0,116,116,3,116,3,3,0
open,5,37,1,1,1,1.0966,1,0.8479,0,102,102,4,102,1,1,0
open,5,38,1,1,1,0.6116,1,0.5719,0,87,89,2,89,1,1,0
open,5,39,1,1,1,0.885,1,0.6931,0,109,111,2,111,1,1,0
open,5,40,1,1,1,1.138,1,0.4425,0,98,100,3,100,1,1,0
open,5,41,1,1,1,0.4189,1,0.5121,0,101,103,1,103,1,1,0
open,5,42,1,1,1,0.8689,1,0.8868,0,90,90,4,90,1,1,0
open,5,43,1,1,1,0.8777,1,0.5992,0,89,91,2,91,1,1,0
open,5,44,1,1,1,1.961,1,0.6245,0,78,83,3,78,1,1,0
open,5,45,1,1,1,0.4045,1,0.4876,0,73,79,5,75,1,1,0
open,5,46,1,1,1,0.722,1,0.4007,0,186,188,3,188,1,1,0
open,5,47,1,1,1,1.3146,1,1.2851,0,100,100,2,100,1,1,0
open,5,48,1,1,1,0.3615,1,0.4179,0,126,126,1,126,1,1,0
open,5,49,1,1,1,0.9385,1,0.6062,0,98,98,2,98,1,1,0
open,10,0,1,1,1,5.1943,1,1.9531,0,188,208,8,188,2,2,0
open,10,1,1,1,1,1.0037,1,1.4381,0,259,259,4,259,1,1,0
open,10,2,1,1,1,0.8107,1,0.715,0,245,245,3,245,1,1,0
open,10,3,1,1,1,2.8967,1,1.9496,0,246,268,7,248,2,2,0
open,10,4,1,1,1,1.0735,1,0.8313,0,182,183,7,184,1,1,0
open,10,5,1,1,1,2.6654,1,0.6837,0,220,220,9,221,1,1,0
